word	zh	image
public	公共	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dd/Derby_Baths%2C_Wallasey%2C_Harvester_public_house.jpg/250px-Derby_Baths%2C_Wallasey%2C_Harvester_public_house.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
publicly	公开地	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/Wpdms_shdrlfi020l_tehachapi_mountains.jpg/250px-Wpdms_shdrlfi020l_tehachapi_mountains.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
publish	发布	https://upload.wikimedia.org/wikipedia/commons/1/10/Publish_changes.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
published	已发布	https://upload.wikimedia.org/wikipedia/commons/5/5e/Pictogram_infobox_palace.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
publishing	发布	https://upload.wikimedia.org/wikipedia/commons/5/56/DU_Publishing_Institite.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
pull	拉取	https://upload.wikimedia.org/wikipedia/commons/2/20/Cricket_Grip_fast.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
punish	惩罚	https://upload.wikimedia.org/wikipedia/commons/0/0c/Sandro_Botticelli%2CThe_Punishment_of_Korah_%28detail_7%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
puppets	傀儡	https://upload.wikimedia.org/wikipedia/commons/b/b4/Marcus_clarke_puppeteer_talking_with_his_Puppets.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
purchase	购买	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/Zac-purchase-july2011.jpg/250px-Zac-purchase-july2011.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
purchased	已购买	https://upload.wikimedia.org/wikipedia/commons/6/66/Purchasing_Power_of_Money_12.1_.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
purge	清除	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fc/Great_Purge_Stalin_Voroshilov_Kaganovich_Zhdanov_Molotov.jpg/250px-Great_Purge_Stalin_Voroshilov_Kaganovich_Zhdanov_Molotov.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
purple	紫色	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/Type_97_-_Purple.jpg/250px-Type_97_-_Purple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
purpose	目的	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2b/Engage_with_purpose_%281%29.jpg/250px-Engage_with_purpose_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
purposeful	有目的	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/af/One_World_Trade_Center_-_purposeful_shape_of_the_building.png/120px-One_World_Trade_Center_-_purposeful_shape_of_the_building.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
push	推送	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/40/Randy%27s_Push-Ups.jpg/250px-Randy%27s_Push-Ups.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
pushes	推送	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/40/Randy%27s_Push-Ups.jpg/250px-Randy%27s_Push-Ups.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
pushing	推动	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/40/Randy%27s_Push-Ups.jpg/250px-Randy%27s_Push-Ups.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
put	放置	
puts	放置	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/Calshot%2C_Lomax_puts_on_a_display_%282%29_-_geograph.org.uk_-_4070076.jpg/250px-Calshot%2C_Lomax_puts_on_a_display_%282%29_-_geograph.org.uk_-_4070076.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
qbr	季度评审	https://thumb.wikimedia.org/wikipedia/commons/thumb/1/13/Michelle_Malkin_1.JPG/250px-Michelle_Malkin_1.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
qualified	合格	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/2012_CAN_Qualified_Countries.png/250px-2012_CAN_Qualified_Countries.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
qualify	符合	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/48/2006_FIFA_World_Cup_qualification_Africa.png/250px-2006_FIFA_World_Cup_qualification_Africa.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
qualitative	定性	https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cb/Qualitative_vs_quantitative.gif/250px-Qualitative_vs_quantitative.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
quality	质量	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2c/Putin_influence_on_Quality_of_life_2007_BBC_poll.PNG/250px-Putin_influence_on_Quality_of_life_2007_BBC_poll.PNG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
quantify	量化	https://upload.wikimedia.org/wikipedia/commons/8/85/NCAM.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
quantitative	定量	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/Quantitative_symbol_for_information_and_infodynamics.jpg/250px-Quantitative_symbol_for_information_and_infodynamics.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
quantity	数量	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ef/Quantity_survey_1.jpg/120px-Quantity_survey_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
queries	查询	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a5/John_MacLean_%281748-1851%29_in_Scottish_Notes_and_Queries_%281906%29.png/120px-John_MacLean_%281748-1851%29_in_Scottish_Notes_and_Queries_%281906%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
query	查询	
question	问题	https://upload.wikimedia.org/wikipedia/commons/c/cc/Question_mark.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
questionnaires	问卷	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f8/Zaid_questionnaire.jpg/250px-Zaid_questionnaire.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
questions	问题	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/db/Open_ended_questions_symbol.png/250px-Open_ended_questions_symbol.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
queue	队列	https://upload.wikimedia.org/wikipedia/commons/c/c2/Dsa_queue_from_2_stacks_init.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
queues	队列	https://upload.wikimedia.org/wikipedia/commons/c/c2/Dsa_queue_from_2_stacks_init.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
quickly	快速	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ed/How_quickly_a_path_can_change_-_geograph.org.uk_-_1238028.jpg/250px-How_quickly_a_path_can_change_-_geograph.org.uk_-_1238028.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
quiet	安静	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/71/Cong_-_%22The_Quiet_Man%22_Cottage_Museum_-_geograph.org.uk_-_1629445.jpg/250px-Cong_-_%22The_Quiet_Man%22_Cottage_Museum_-_geograph.org.uk_-_1629445.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
quota	配额	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/76/Quota_diagram.jpg/250px-Quota_diagram.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
quotas	配额	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/Hare_quota_scenario_2.jpg/250px-Hare_quota_scenario_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
quotes	引用	https://upload.wikimedia.org/wikipedia/commons/9/9a/Reversed_double_quotes_large_left.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
raci	RACI	
raise	提出	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/42/Raise_Beck_-_geograph.org.uk_-_1063230.jpg/250px-Raise_Beck_-_geograph.org.uk_-_1063230.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
raises	提出	https://upload.wikimedia.org/wikipedia/commons/6/69/Smith-machine-reverse-calf-raises-2.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
ranges	范围	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Ash_Ranges_-_geograph.org.uk_-_1863570.jpg/250px-Ash_Ranges_-_geograph.org.uk_-_1863570.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
ranking	排名	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/89/Project_reuse_ranking_apache_commons_library.png/250px-Project_reuse_ranking_apache_commons_library.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
rare	罕见	https://thumb.wikimedia.org/wikipedia/commons/thumb/1/17/Rare_tree_-_geograph.org.uk_-_816190.jpg/250px-Rare_tree_-_geograph.org.uk_-_816190.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
rate	速率	https://thumb.wikimedia.org/wikipedia/commons/thumb/2/24/U.S._incarceration_rate_by_race.gif/250px-U.S._incarceration_rate_by_race.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
rates	费率	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/61/Uk%C3%A1zkov%C3%BD_p%C5%99%C3%ADklad.jpg/120px-Uk%C3%A1zkov%C3%BD_p%C5%99%C3%ADklad.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
rather	而	https://upload.wikimedia.org/wikipedia/commons/e/e3/Dan_Rather_2006-04-25.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
raw	原始	https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/Monday_Night_RAW_Live.jpg/250px-Monday_Night_RAW_Live.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
re	再	
reach	到达	https://thumb.wikimedia.org/wikipedia/commons/thumb/3/36/St_Leonard%27s%2C_Heath_%5E_Reach-_font_-_geograph.org.uk_-_2594123.jpg/250px-St_Leonard%27s%2C_Heath_%5E_Reach-_font_-_geograph.org.uk_-_2594123.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
read	阅读	
readable	可读	https://upload.wikimedia.org/wikipedia/commons/e/ed/Text_readable_only_at_low_zoom_example.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
readers	读者	https://thumb.wikimedia.org/wikipedia/commons/thumb/3/32/Readers_Corner_-_geograph.org.uk_-_384373.jpg/250px-Readers_Corner_-_geograph.org.uk_-_384373.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
readiness	就绪	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e2/96th_Logistics_Readiness_Squadron.png/250px-96th_Logistics_Readiness_Squadron.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
reading	阅读	https://thumb.wikimedia.org/wikipedia/commons/thumb/3/31/Archway_at_Reading_Abbey_-_geograph.org.uk_-_1288898.jpg/250px-Archway_at_Reading_Abbey_-_geograph.org.uk_-_1288898.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
readings	读数	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d9/Station_Road_-_Reading_-_geograph.org.uk_-_2355206.jpg/250px-Station_Road_-_Reading_-_geograph.org.uk_-_2355206.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
readme	README	https://upload.wikimedia.org/wikipedia/commons/7/7c/Fairytale_readme.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
reads	阅读	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/Ezra_Reads_the_Law_l.jpg/120px-Ezra_Reads_the_Law_l.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
ready	就绪	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ea/CAPT._PEGGY_E._READY%2C_COMMANDER%2C_WAC_DETACHMENT%2C_VIETNAM%2C_and_Lt._Gen._Jean_E._Engler%2C_Deputy_Commander%2C_U.S._Army%2C_Vietnam%2C_cut_the_ribbon_opening_the_new_WAC_barracks_area%2C_January_1967..jpg/250px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
real	真实	https://upload.wikimedia.org/wikipedia/commons/3/3a/Logo_of_Real%2C_Quezon.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
realistic	现实	https://thumb.wikimedia.org/wikipedia/commons/thumb/3/34/Realistic_rogue_wave_model_%28small%29.gif/250px-Realistic_rogue_wave_model_%28small%29.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
reality	现实	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/06/Reality_Checkpoint_-_geograph.org.uk_-_3943326.jpg/250px-Reality_Checkpoint_-_geograph.org.uk_-_3943326.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
reasonable	合理	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/96/Joan_Fontaine_in_Beyond_A_Reasonable_Doubt_trailer.JPG/250px-Joan_Fontaine_in_Beyond_A_Reasonable_Doubt_trailer.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
reasons	原因	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ac/One_of_the_reasons_-_geograph.org.uk_-_739609.jpg/250px-One_of_the_reasons_-_geograph.org.uk_-_739609.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
rebalance	再平衡	https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5e/Rebalance.png/250px-Rebalance.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
rebase	变基	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/45/Participant_at_Wikimedia_Hackerthon_2024_at_Rebase_Code_Camp.jpg/250px-Participant_at_Wikimedia_Hackerthon_2024_at_Rebase_Code_Camp.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
rebid	重新投标	
rebuild	重建	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/Ivan_Veliky_rebuild_draft%2C_Giliardi%2C_1815_%282%29.jpg/120px-Ivan_Veliky_rebuild_draft%2C_Giliardi%2C_1815_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
rebuilds	重建	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fc/Rebuilding_Bristol_Bus_Station_-_geograph.org.uk_-_133472.jpg/250px-Rebuilding_Bristol_Bus_Station_-_geograph.org.uk_-_133472.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recall	召回	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/43/Recall.png/250px-Recall.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
receipt	收据	https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c6/Tchotchke_receipt.jpg/120px-Tchotchke_receipt.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
receipts	收据	
receivable	应收	https://upload.wikimedia.org/wikipedia/commons/5/58/Quick_Receivable.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
receive	接收	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9b/Secretary_Fudge_Announces_Chicago_will_Receive_Grant_to_Fight_Homelessness_%2852676677898%29_%28cropped%29.jpg/250px-Secretary_Fudge_Announces_Chicago_will_Receive_Grant_to_Fight_Homelessness_%2852676677898%29_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
received	已接收	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/Received_Payment_%281922%29_-_1.jpg/250px-Received_Payment_%281922%29_-_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
receives	接收	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/Akbar_receives_an_embassy_sent_by_Queen_Elizabeth.jpg/250px-Akbar_receives_an_embassy_sent_by_Queen_Elizabeth.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
receiving	接收	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/Receiving_Hopper_-_geograph.org.uk.jpg/250px-Receiving_Hopper_-_geograph.org.uk.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recent	最近	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b0/Recent_changes_mobile_mockups_-_Highlighting_results.png/120px-Recent_changes_mobile_mockups_-_Highlighting_results.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recenter	重新居中	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fd/National_Park_Service_9-11_Statue_of_Liberty_and_WTC_fire.jpg/250px-National_Park_Service_9-11_Statue_of_Liberty_and_WTC_fire.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
reception	前台	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/Office_reception_area.jpg/250px-Office_reception_area.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recharge	充电	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/02/Shell_Recharge_logo.png/250px-Shell_Recharge_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recipients	收件人	https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5d/Bournemouth%2C_big_bin%2C_little_bin_-_geograph.org.uk_-_688300.jpg/250px-Bournemouth%2C_big_bin%2C_little_bin_-_geograph.org.uk_-_688300.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recognition	认可	
recognize	识别	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fd/Recognition_aghsaghloo.jpg/250px-Recognition_aghsaghloo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recommend	推荐	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e7/EMERGENCY_HAND_SIGNALS_%28EU%29-Recommend_evacuation-01_ASD.jpg/250px-EMERGENCY_HAND_SIGNALS_%28EU%29-Recommend_evacuation-01_ASD.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recommendation	推荐	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/Movement_Strategy_recommendations_published.png/250px-Movement_Strategy_recommendations_published.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recommendations	推荐	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/Movement_Strategy_recommendations_published.png/250px-Movement_Strategy_recommendations_published.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
reconcile	核对	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/Screen_Shot_for_open_refine_reconcile_feature.png/250px-Screen_Shot_for_open_refine_reconcile_feature.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
record	记录	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a2/Record.jpg/250px-Record.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recording	录音	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/ff/Recording-studio_control-room.jpg/250px-Recording-studio_control-room.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recordings	录音	https://upload.wikimedia.org/wikipedia/commons/b/bd/PIAS_Recordings_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
records	记录	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/72/32_Records_company_logo.jpg/250px-32_Records_company_logo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recovery	恢复	https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/RECOVERY_Trial_Dexamethasone_Unassisted.jpg/250px-RECOVERY_Trial_Dexamethasone_Unassisted.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recreate	重建	
recruit	招聘	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d6/China_-_Flags_of_All_Nations_-_Recruit_Little_Cigars_-_%281909-1911%29_02.jpg/250px-China_-_Flags_of_All_Nations_-_Recruit_Little_Cigars_-_%281909-1911%29_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
recuse	回避	
red	红	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/41/Paris_Manga_2010_-_Red_eyes_%28cropped%29.jpg/250px-Paris_Manga_2010_-_Red_eyes_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
redemption	兑换	https://upload.wikimedia.org/wikipedia/commons/2/2e/Blackie%27s_Redemption_1919.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
redemptions	兑换	https://upload.wikimedia.org/wikipedia/commons/2/2e/Blackie%27s_Redemption_1919.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
reduce	减少	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d7/Reduce%2C_Reuse%2C_Recycle_-_geograph.org.uk_-_395212.jpg/250px-Reduce%2C_Reuse%2C_Recycle_-_geograph.org.uk_-_395212.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
